,ID,nb_frames,duration,avg_frame_rate,filename
0,1503510449718,7382,247.808722,29.789104813591667,1503510449718.mp4
1,1503510957301,10055,336.917067,29.844139685414174,1503510957301.mp4
2,1503512024740,14538,488.022844,29.78958908480969,1503512024740.mp4
3,1503512621910,13798,463.121967,29.793447500043005,1503512621910.mp4
4,1503513662628,8286,278.075356,29.797678343144558,1503513662628.mp4
5,1503514028875,6648,223.224244,29.78171128564191,1503514028875.mp4
6,1503515171349,11079,371.868689,29.79277452238069,1503515171349.mp4
7,1503515701951,8413,281.865056,29.847616205627162,1503515701951.mp4
8,1503523593605,4786,160.552167,29.80962573950523,1503523593605.mp4
9,1503523878205,5291,177.527967,29.80375486378766,1503523878205.mp4
10,1503525025300,4367,146.311211,29.84733682973637,1503525025300.mp4
11,1503525230880,5383,180.690644,29.791249107283303,1503525230880.mp4
12,1503599958929,13084,438.936589,29.80840588641847,1503599958929.mp4
13,1503600471339,11586,388.863722,29.79449955832856,1503600471339.mp4
14,1503601791851,10853,364.370989,29.78557659899073,1503601791851.mp4
15,1503602222616,9949,333.314756,29.848663565516052,1503602222616.mp4
16,1503604109480,6325,212.080522,29.82357801520565,1503604109480.mp4
17,1503604387983,7087,237.550956,29.833599210012768,1503604387983.mp4
18,1503609551913,6977,234.196511,29.791220914857544,1503609551913.mp4
19,1503610324174,7740,259.808278,29.791198595374496,1503610324174.mp4
20,1503611234275,5278,176.875767,29.8401533430338,1503611234275.mp4
21,1503611601402,8187,274.803156,29.79223431204332,1503611601402.mp4
22,1503612421077,7411,248.781911,29.789143297842482,1503612421077.mp4
23,1503612761276,8003,268.193500,29.840395087874985,1503612761276.mp4
24,1503614249214,6205,207.940744,29.840231728408526,1503614249214.mp4
25,1503614529248,5754,193.162433,29.78840088471309,1503614529248.mp4
26,1503615955779,8133,272.777189,29.81554298263862,1503615955779.mp4
27,1503616371604,8247,276.408044,29.836324107627675,1503616371604.mp4
28,1503617764878,6376,213.601478,29.849980750757393,1503617764878.mp4
29,1503618071641,6877,230.393733,29.84890214027812,1503618071641.mp4
30,1503683073471,11159,373.887378,29.84588585558622,1503683073471.mp4
31,1503683563307,8010,268.806344,29.79840381578295,1503683563307.mp4
32,1503685034967,8012,268.946711,29.790288071936928,1503685034967.mp4
33,1503685368577,7867,263.964244,29.803278912101817,1503685368577.mp4
34,1503686425859,7708,258.716744,29.793201118666587,1503686425859.mp4
35,1503686805336,6939,232.608800,29.831201571049764,1503686805336.mp4
36,1503688007613,5703,191.106989,29.841922753101244,1503688007613.mp4
37,1503688257359,5246,175.746356,29.849836620604492,1503688257359.mp4
38,1503694930450,10301,345.501044,29.81467108605621,1503694930450.mp4
39,1503695352765,11192,375.604956,29.79726394569519,1503695352765.mp4
40,1503696689988,8627,289.136089,29.837160878645072,1503696689988.mp4
41,1503697313323,6291,210.963867,29.820272539562858,1503697313323.mp4
42,1503698678322,10459,351.081767,29.79078093203929,1503698678322.mp4
43,1503699291032,9807,329.278389,29.783308989978252,1503699291032.mp4
44,1503701139779,4692,157.331767,29.822330857955578,1503701139779.mp4
45,1503701484723,4452,149.158111,29.847521980776552,1503701484723.mp4
46,1503702387838,7850,263.257878,29.818670826733516,1503702387838.mp4
47,1503702810845,9825,329.561733,29.812320443352444,1503702810845.mp4
48,1503704008775,13414,449.793356,29.822583713874337,1503704008775.mp4
49,1503705469691,14551,488.738889,29.772543848680844,1503705469691.mp4
50,1503942504234,4314,147.288256,29.289504337790227,1503942504234.mp4
51,1503942726461,4645,155.653644,29.841896838193744,1503942726461.mp4
52,1503943620094,13771,462.297322,29.788188981506586,1503943620094.mp4
53,1503944237832,16631,558.139744,29.797197145589404,1503944237832.mp4
54,1503945515116,9117,305.891944,29.80464234374702,1503945515116.mp4
55,1503945980566,9775,327.957600,29.805682197942662,1503945980566.mp4
56,1503947384353,10949,367.083733,29.82698225436667,1503947384353.mp4
57,1503948467876,10406,348.929822,29.82261571604147,1503948467876.mp4
58,1503954634592,11518,386.612222,29.792125902785163,1503954634592.mp4
59,1503955687111,11102,372.654011,29.79170938452561,1503955687111.mp4
60,1503956929450,9116,306.566522,29.735797418193123,1503956929450.mp4
61,1503957322493,9392,314.718656,29.842527076829363,1503957322493.mp4
62,1503958514022,13064,438.015333,29.82543990088627,1503958514022.mp4
63,1503959170110,12703,425.926911,29.824365797553895,1503959170110.mp4
64,1503963533730,12146,407.023822,29.841005211160997,1503963533730.mp4
65,1503964057697,13427,449.929578,29.842447936667224,1503964057697.mp4
